Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Temperature	Rearing	Nutrition	Competition	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Prop_t	Alive_t	Dead_t	N_c	Prop_c	Alive_c	Dead_c	Obs
P1430	P012	Xie_et_al_2014	Drosophila_melanogaster	14	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	75	1	75	0	58	0.982758621	57	1	From_raw_data
P1431	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	78	1	78	0	93	0.989247312	92	1	From_raw_data
P1432	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	65	0.984615385	64	1	76	1	76	0	From_raw_data
P1433	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	81	1	81	0	76	1	76	0	From_raw_data
P1434	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	87	0.885057471	77	10	83	0.891566265	74	9	From_raw_data
P1435	P008	ZÚlÚ_et_al_2018_A	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip	Natural	Natural	24	Sucrose_solution	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	875	0.77	674	201	765	0.78	597	168	N_=_mean_fecundity*replicates
P1535	P155	ZÚlÚ_et_al_2019	Tetranychus_urticae	NA	Other	Wolbachia	NA	Natural	Natural	25	Bean_plant	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	240	0.83	199	41	240	0.92	221	19	NA
P1536	P155	ZÚlÚ_et_al_2019	Tetranychus_urticae	NA	Other	Wolbachia	NA	Natural	Natural	25	Bean_plant	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	240	0.753	181	59	240	0.712	171	69	NA
P1513	P111	Zhang_et_al_2012	Sogatella_furcifera	NA	Other	Wolbachia	NA	Natural	Natural	25	Rice_seedlings	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	4278	0.893	3820	458	3547	0.905	3210	337	NA
P1514	P113	Zhang_et_al_2018	Tetranychus_truncatus	NA	Other	Wolbachia	NA	Natural	Natural	25	Phaseolus_vulgaris	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	416	0.84	349	67	399	0.134	53	346	NA
P1512	P109	Zhao_et_al_2013_A	Tetranychus_urticae	NA	Other	Wolbachia	NA	Natural	Natural	25	Phaseolus_vulgaris	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	794	0.935	742	52	567	0.946	536	31	NA
