Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Natural_enemy_spp	NE_group	NE_line	NE_type	Temperature	Rearing	NE_infection	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Mean_t	SD_t	N_c	Mean_c	SD_c	Obs
P0110	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wAra	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	60191.78336	21801.49435	20	146037.8863	58399.0642	From_raw_data
P0111	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wAu	Natural	Backcrossing	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	14327.23697	5894.070145	20	146037.8863	58399.0642	From_raw_data
P0112	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wBai	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	4	116515.1854	42858.32979	20	146037.8863	58399.0642	From_raw_data
P0113	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wBic	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	4	101251.0115	28574.90211	20	146037.8863	58399.0642	From_raw_data
P0114	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wBor	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	2	116427.6811	35542.22897	20	146037.8863	58399.0642	From_raw_data
P0115	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wHa	Natural	Backcrossing	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	269316.3285	51104.02683	20	146037.8863	58399.0642	From_raw_data
P0116	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wInn	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	8	163762.9869	79865.31149	20	146037.8863	58399.0642	From_raw_data
P0117	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wMa	Natural	Backcrossing	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	92656.08348	38574.57922	20	146037.8863	58399.0642	From_raw_data
P0118	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wMel	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	53788.91702	34586.14523	20	146037.8863	58399.0642	From_raw_data
P0119	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wMelCS	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	5	49542.94456	32856.16953	20	146037.8863	58399.0642	From_raw_data
P0120	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wPro	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	201745.6155	65109.54278	20	146037.8863	58399.0642	From_raw_data
P0121	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wSan	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	135014.8639	61749.41108	20	146037.8863	58399.0642	From_raw_data
P0122	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wSh	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	168328.4993	56500.59904	20	146037.8863	58399.0642	From_raw_data
P0123	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wStv	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	70143.14645	31847.7407	20	146037.8863	58399.0642	From_raw_data
P0124	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wTei	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	61946.4051	26040.65262	20	146037.8863	58399.0642	From_raw_data
P0125	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wTri	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	145459.2023	34926.5273	20	146037.8863	58399.0642	From_raw_data
P0126	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wTro	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	122619.6131	48024.21975	20	146037.8863	58399.0642	From_raw_data
P0127	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wYak	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	101734.047	38123.5271	20	146037.8863	58399.0642	From_raw_data
P0128	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wAna	Not_natural	Microinjection	FHV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	2722.851202	2241.88766	20	3660.687873	2610.665789	From_raw_data
P0129	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wAra	Not_natural	Microinjection	FHV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	786.5874294	483.4136026	20	3660.687873	2610.665789	From_raw_data
P0130	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wAu	Natural	Backcrossing	FHV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	490.1763502	467.0692906	20	3660.687873	2610.665789	From_raw_data
